,id,title,genres
0,862,Toy Story,"animation, comedy, family"
1,8844,Jumanji,"adventure, fantasy, family"
2,15602,Grumpier Old Men,"romance, comedy"
3,31357,Waiting to Exhale,"comedy, drama, romance"
4,11862,Father of the Bride Part II,comedy
5,949,Heat,"action, crime, drama, thriller"
6,11860,Sabrina,"comedy, romance"
7,45325,Tom and Huck,"action, adventure, drama, family"
8,9091,Sudden Death,"action, adventure, thriller"
9,710,GoldenEye,"adventure, action, thriller"
10,9087,The American President,"comedy, drama, romance"
11,12110,Dracula: Dead and Loving It,"comedy, horror"
12,21032,Balto,"family, animation, adventure"
13,10858,Nixon,"history, drama"
14,1408,Cutthroat Island,"action, adventure"
15,524,Casino,"drama, crime"
16,4584,Sense and Sensibility,"drama, romance"
17,5,Four Rooms,"crime, comedy"
18,9273,Ace Ventura: When Nature Calls,"crime, comedy, adventure"
19,11517,Money Train,"action, comedy, crime"
20,8012,Get Shorty,"comedy, thriller, crime"
21,1710,Copycat,"drama, thriller"
22,9691,Assassins,"action, adventure, crime, thriller"
23,12665,Powder,"drama, fantasy, science fiction, thriller"
24,451,Leaving Las Vegas,"drama, romance"
25,16420,Othello,drama
26,9263,Now and Then,"comedy, drama, family"
27,17015,Persuasion,"drama, romance"
28,902,The City of Lost Children,"fantasy, science fiction, adventure"
29,37557,Shanghai Triad,"drama, crime"
30,9909,Dangerous Minds,"drama, crime"
31,63,Twelve Monkeys,"science fiction, thriller, mystery"
32,78802,Wings of Courage,"romance, adventure"
33,9598,Babe,"fantasy, drama, comedy, family"
34,47018,Carrington,"history, drama, romance"
35,687,Dead Man Walking,drama
36,139405,Across the Sea of Time,"adventure, history, drama, family"
37,33689,It Takes Two,"comedy, family, romance"
38,9603,Clueless,"comedy, drama, romance"
39,34615,"Cry, the Beloved Country",drama
40,31174,Richard III,"drama, war"
41,11443,Dead Presidents,"action, crime, drama, history"
42,35196,Restoration,"drama, romance"
43,9312,Mortal Kombat,"action, fantasy"
44,577,To Die For,"fantasy, drama, comedy, thriller"
45,11861,How To Make An American Quilt,"drama, romance"
46,807,Se7en,"crime, mystery, thriller"
47,10530,Pocahontas,"adventure, animation, drama, family"
48,8391,When Night Is Falling,"drama, romance"
49,629,The Usual Suspects,"drama, crime, thriller"
50,117164,Guardian Angel,"action, thriller, drama"
51,11448,Mighty Aphrodite,"comedy, romance"
52,49133,Lamerica,"drama, foreign"
53,26441,The Big Green,"action, adventure, comedy, family"
54,97406,Georgia,drama
55,124057,Kids of the Round Table,
56,9089,Home for the Holidays,"comedy, drama, romance"
57,11010,The Postman,"comedy, drama, romance"
58,99040,The Confessional,"thriller, drama, mystery"
59,11359,The Indian in the Cupboard,"adventure, family, fantasy"
60,17182,Eye for an Eye,"drama, thriller"
61,2054,Mr. Holland's Opus,"music, drama, family"
62,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,comedy
63,19760,Two If by Sea,"comedy, romance"
64,9536,Bio-Dome,comedy
65,11525,Lawnmower Man 2: Beyond Cyberspace,"action, science fiction"
66,40628,Two Bits,"drama, family"
67,4482,French Twist,"comedy, romance"
68,10634,Friday,comedy
69,755,From Dusk Till Dawn,"horror, action, thriller, crime"
70,11859,Fair Game,"action, thriller, romance"
71,28387,Kicking and Screaming,"comedy, drama, romance"
72,48750,Les Miserables,"drama, history"
73,20927,Bed of Roses,"drama, romance"
74,36929,Big Bully,"comedy, family"
75,9102,Screamers,"horror, science fiction"
76,124626,Nico Icon,documentary
77,27526,The Crossing Guard,"drama, thriller"
78,9623,The Juror,"drama, thriller"
79,46785,The White Balloon,"family, drama"
80,400,Things to Do in Denver When You're Dead,"drama, crime"
81,880,Antonia's Line,"drama, comedy"
82,146599,Once Upon a Time... When We Were Colored,"romance, drama"
83,188588,Last Summer in the Hamptons,
84,8447,Angels and Insects,"drama, romance"
85,10534,White Squall,"action, drama"
86,17414,Dunston Checks In,"adventure, comedy, family"
87,13997,Black Sheep,comedy
88,2086,Nick of Time,"crime, drama, thriller"
89,61548,The Journey of August King,drama
90,9095,Mary Reilly,"drama, horror, thriller, romance"
91,12158,Vampire in Brooklyn,"comedy, horror, romance"
92,9283,Beautiful Girls,"comedy, drama, romance"
93,9208,Broken Arrow,"action, adventure, drama, thriller"
94,40154,A Midwinter's Tale,comedy
95,406,La Haine,drama
96,45549,Shopping,"action, adventure, drama, science fiction, thriller"
97,63076,Heidi Fleiss: Hollywood Madam,documentary
98,11062,City Hall,"drama, thriller"
99,13685,Bottle Rocket,"comedy, crime, drama"
100,47475,Mr. Wrong,"comedy, romance"
101,2045,Unforgettable,"drama, mystery, science fiction, thriller"
102,9614,Happy Gilmore,comedy
103,688,The Bridges of Madison County,"drama, romance"
104,11907,Nobody Loves Me,"drama, comedy, family"
105,10874,Muppet Treasure Island,"action, comedy, music, family, adventure"
106,89333,Catwalk,documentary
107,96357,Headless Body in Topless Bar,crime
108,197,Braveheart,"action, drama, history, war"
109,103,Taxi Driver,"crime, drama"
110,33542,Rumble in the Bronx,"crime, action, comedy, thriller"
111,43566,Before and After,"drama, thriller"
112,71754,Margaret's Museum,drama
113,43612,Happiness Is in the Field,comedy
114,51352,Anne Frank Remembered,"documentary, drama, foreign"
115,16934,The Young Poisoner's Handbook,"comedy, crime, drama"
116,10324,If Lucy Fell,"comedy, romance"
117,78406,Steal Big Steal Little,"comedy, drama"
118,55731,Race the Sun,"action, adventure, comedy, drama, family"
119,32119,The Boys of St. Vincent,drama
120,11066,Boomerang,"comedy, romance"
121,11104,Chungking Express,"drama, comedy, romance"
122,37975,The Star Maker,"drama, romance"
123,2074,Flirting with Disaster,"comedy, romance"
124,27793,The Neverending Story III: Escape from Fantasia,fantasy
125,44284,The Silences of the Palace,drama
126,290157,Jupiter's Wife,
127,110972,Pie in the Sky,"comedy, romance"
128,32622,Angela,"comedy, drama"
129,73067,Frankie Starlight,"drama, romance, war"
130,11863,Jade,"action, thriller, mystery, romance"
131,55475,Nueba Yol,"comedy, drama, romance"
132,124636,Sonic Outlaws,"music, documentary"
133,9101,Down Periscope,comedy
134,123360,From the Journals of Jean Seberg,documentary
135,5757,Man of the Year,comedy
136,39428,The Neon Bible,drama
137,124639,Target,
138,9302,Up Close & Personal,"drama, romance"
139,11000,The Birdcage,comedy
140,249882,Virgin Mary,drama
141,16388,The Brothers McMullen,"comedy, drama, romance"
142,9737,Bad Boys,"action, comedy, crime, thriller"
143,30765,The Amazing Panda Adventure,"action, adventure, drama, family"
144,10474,The Basketball Diaries,"drama, crime"
145,22279,An Awfully Big Adventure,"romance, drama, comedy"
146,30157,Amateur,"crime, comedy, drama, thriller"
147,568,Apollo 13,drama
148,11780,Rob Roy,adventure
149,34996,The Addiction,"drama, horror"
150,414,Batman Forever,"action, crime, fantasy"
151,649,Belle de Jour,"drama, romance"
152,1873,Beyond Rangoon,"drama, thriller"
153,5894,Blue in the Face,comedy
154,1775,Canadian Bacon,"action, comedy"
155,8839,Casper,"fantasy, comedy, family"
156,20649,Clockers,"mystery, crime, drama"
157,10329,Congo,"action, adventure, drama, mystery, science fiction, thriller"
158,8963,Crimson Tide,"action, thriller, drama"
159,26564,Crumb,documentary
160,8068,Desperado,"thriller, action, crime"
161,8512,Devil in a Blue Dress,"drama, mystery, thriller"
162,1572,Die Hard: With a Vengeance,"action, thriller"
163,13552,The Doom Generation,"action, comedy, crime, drama"
164,259209,Feast of July,"drama, crime"
165,6520,First Knight,"action, adventure, drama, romance"
166,9073,Free Willy 2 - The Adventure Home,adventure
167,10428,Hackers,"action, crime, thriller, drama"
168,17447,Jeffrey,"comedy, drama, romance"
169,9886,Johnny Mnemonic,"adventure, action, drama, science fiction, thriller"
170,9482,Judge Dredd,science fiction
171,19326,Jury Duty,"comedy, drama"
172,9344,Kids,"drama, crime"
173,9071,Living in Oblivion,"drama, comedy"
174,8973,Lord of Illusions,"mystery, horror, thriller"
175,15730,Love & Human Remains,"comedy, drama"
176,47608,Mad Love,"drama, family, romance"
177,2293,Mallrats,"romance, comedy"
